Date,BZ,CL,GC,HG,NG,SB,SI,ZC,ZS,ZW
2005-02-28,,0.07106539526030459,0.034257136175313216,0.024975945654725062,0.06269770730968172,-0.09076522921513785,0.08830936165670258,0.08510600963008315,0.17875359971660934,0.14750122791637282
2005-03-31,,0.06815518915069989,-0.018030973201195292,0.005982034390081854,0.12852256538640008,0.03271316642171634,-0.023093839938104477,-0.007017572658646535,0.019308725381430757,-0.01870611971080239
2005-04-30,,-0.10817233010211709,0.01458862901022255,-0.007316240214162126,-0.15030337088888082,-0.010398725172236015,-0.04101902450764487,-0.039502442976246256,-0.013234602636469979,-0.04006699259688607
2005-05-31,,0.0442593613149001,-0.04393990621043375,0.004661992748401803,-0.03178296642601232,0.017271652511608875,0.0755970900296108,0.08088765913910057,0.09395130929388675,0.04233029043214007
2005-06-30,,0.08357398564343378,0.04600672036399584,0.03171759103784431,0.09018079077586273,0.0641103375014211,-0.057506154564683214,-0.0449125566808228,-0.042799324849744566,-0.0313841295346428
2005-07-31,,0.06955907780206223,-0.013860235937534623,0.0827376576942177,0.12177008410439594,0.051132657819953437,0.02944276059101494,0.1081833827405309,0.030225194681989524,0.0192535789661352
2005-08-31,,0.12943688054775465,0.009030960948294134,0.004434628013049543,0.37494704505548104,0.024121750027292607,-0.06522030959297857,-0.16015882654525,-0.13528741276446773,-0.08348110647656905
2005-09-30,,-0.03995211867506469,0.07801919819327353,0.0609368587826745,0.19348916292938997,0.08377876241877025,0.09516270235443233,0.019656652549551592,-0.02327691299311905,0.13839104133430816
2005-10-31,,-0.10294796508937994,-0.008350319093210181,0.051126787859348766,-0.13155275983348885,0.034114629462315034,0.01226028221564892,-0.04605667727377148,-0.014938766389901142,-0.08825928362426762
2005-11-30,,-0.04168691510186816,0.06149691807455313,0.09021475824314479,0.034229247829555165,0.09265886176805489,0.09229534762348286,-0.045610511252052295,-0.0120241929668017,-0.041874072471058885
2005-12-31,,0.06287980433911168,0.04448686476112652,0.04084123787375616,-0.11793147781118087,0.16637311390073956,0.063178899270959,0.14034148455307188,0.07589848292751017,0.10970959730875679
2006-01-31,,0.10680111306908906,0.09880263202810323,0.03366254566903284,-0.18641011722807493,0.2049962336083707,0.11044965849361722,0.013809195274186578,-0.012957339068517692,0.011721745933101916
2006-02-28,,-0.10075782918753245,-0.016249054977585168,-0.022620367648030746,-0.32753841830427566,-0.07368122619470183,-0.013285847967440825,0.04141610371671694,-0.02384106108575692,0.07571940849982771
2006-03-31,,0.08158219949647502,0.035336915840343465,0.12963454858816287,0.07127402450779315,0.06699964014697213,0.16642070507208834,0.034486176071169404,-0.0151945619196811,-0.06269462234435583
2006-04-30,,0.07584313835165771,0.11361102259566509,0.29314345259357943,-0.09524086555989021,-0.04396942819154938,0.16282381789723271,0.009488737508701453,0.02718614030415678,-0.004322773302004027
2006-05-31,,-0.008241945732866632,-0.01437093090590073,0.10815978324779779,-0.02643325836715625,-0.10257521771726315,-0.08589501871060375,0.053127916838973964,-0.013284960759215788,0.1279200103559096
2006-06-30,,0.03703875380870438,-0.046186552618408684,-0.07079147793066674,-0.047968099952145356,0.021120780224917778,-0.1278553643442427,-0.06473754591681305,0.025975486403260736,-0.0575322036996441
2006-07-31,,0.005661130567632749,0.03318411720120119,0.041716844229063944,0.29964803990985833,-0.057344707308938946,0.03733286866824544,0.014752638475038224,-0.025975486403260677,0.0676460699365728
2006-08-31,,-0.05725328510584397,-0.013173728415181447,-0.03984134615703649,-0.3057471570784033,-0.23393257090712696,0.13021462726916222,-0.029726180265200734,-0.06643851307282259,0.016219943866763474
2006-09-30,,-0.11049754608588384,-0.044597098303658,-0.0028868351912537888,-0.07339597199751641,-0.08393443249062234,-0.11923756845414749,0.1235137103653684,0.009635311983672092,0.09215489208398564
2006-10-31,,-0.06875446941639068,0.009146152097424486,-0.03620708773211986,0.2930944550944528,0.06252033833667534,0.06442935278400964,0.2004109214640673,0.1407541043773733,0.08644688360743703
